Ano,Educação Infantil,Ensino Fundamental,Ensino Médio,Total
2008,5992,33007,6825,45824
2009,6256,32850,6771,45877
2010,6394,34015,7645,48054
2011,7112,33738,7622,48472
2012,7613,33452,7816,48881
2013,7717,33203,7892,48812
2014,8342,33114,7604,49060
2015,8512,33628,7157,49297
2016,9614,34521,7128,51263
2017,10167,34526,7082,51775
2018,10409,34898,7597,52904
2019,11003,34608,7856,53467
2020,11250,34719,8539,54508
2021,11215,34938,8755,54908
2022,12254,34839,8660,55753
2023,13286,35327,8716,57329
